cons1,cons2,cons3,cons4,cons5,cons6,cons7,cons8,cons9,cons10,cons11,cons12,label
0.162,2.765,0.876,0.184,0.863,0.345,0.138,0.008,0.016,0.025,0.006,0.005,1
0.089,2.793,0.663,0.076,0.945,0.191,0.055,0.003,0.005,0.009,0.002,0.001,1
1.214,2.292,1.037,0.727,0.361,0.807,0.639,0.061,0.102,0.134,0.053,0.039,1
0.085,2.631,0.721,0.139,0.906,0.298,0.094,0.003,0.008,0.013,0.003,0.001,1
0.309,2.847,0.904,0.288,0.805,0.458,0.195,0.013,0.022,0.041,0.009,0.007,1
0.186,2.832,0.915,0.188,0.86,0.408,0.14,0.006,0.012,0.021,0.002,0.001,1
0.117,2.77,0.767,0.027,0.141,0.062,0.016,0.001,0.002,0.004,0.001,0.001,1
0.097,2.884,0.915,0.098,0.418,0.174,0.063,0.004,0.007,0.013,0.003,0.002,1
1.565,2.72,1.111,0.777,0.266,0.866,0.734,0.077,0.137,0.17,0.067,0.06,1
0.071,2.572,1.082,0.227,0.838,0.344,0.162,0.001,0.01,0.025,0.001,0.001,1
0.003,2.725,0.648,0.006,0.063,0.016,0.002,0,0,0.001,0,0,1
0.512,2.572,1.162,0.429,0.7,0.517,0.3,0.015,0.03,0.049,0.005,0.005,1
0.04,1.78,0.591,0.01,0.251,0.057,0.009,0.002,0.003,0.005,0.001,0.001,1
0.171,2.937,1.067,0.241,0.827,0.395,0.174,0.013,0.021,0.032,0.009,0.006,1
0.064,2.941,0.775,0.165,0.904,0.3,0.096,0.005,0.009,0.017,0.003,0.002,1
0.099,2.206,1.159,0.305,0.757,0.372,0.243,0.014,0.029,0.038,0.012,0.01,1
-0.147,2.767,1.054,0.168,0.901,0.279,0.099,0.005,0.012,0.018,0.004,0.002,1
-0.074,2.417,1.088,0.179,0.883,0.295,0.117,0.008,0.017,0.023,0.006,0.003,1
0.481,2.768,0.972,0.339,0.718,0.498,0.282,0.018,0.027,0.038,0.01,0.007,1
0.742,2.833,1.152,0.487,0.613,0.614,0.387,0.05,0.063,0.089,0.037,0.031,1
0.098,2.81,0.995,0.18,0.653,0.269,0.119,0.004,0.009,0.015,0.003,0.002,1
0.151,2.763,0.812,0.212,0.844,0.366,0.157,0.006,0.01,0.02,0.004,0.003,1
-0.03,2.335,0.721,0.096,0.938,0.228,0.062,0.002,0.004,0.008,0.001,0.001,1
-0.036,2.24,1.166,0.249,0.804,0.336,0.196,0.012,0.02,0.029,0.009,0.007,1
-0.143,2.482,1.182,0.21,0.852,0.294,0.148,0.005,0.012,0.019,0.005,0.004,1
1.436,2.885,1.123,0.766,0.329,0.842,0.671,0.104,0.126,0.167,0.081,0.072,1
0.11,2.531,0.945,0.213,0.849,0.356,0.151,0.005,0.013,0.024,0.004,0.004,1
1.78,2.941,1.278,0.78,0.231,0.837,0.769,0.065,0.116,0.148,0.057,0.051,1
-0.075,2.271,0.791,0.091,0.955,0.262,0.045,0.005,0.008,0.017,0.003,0.002,1
0.171,2.293,1.033,0.276,0.796,0.386,0.204,0.011,0.021,0.036,0.008,0.008,1
0.308,2.941,1.008,0.273,0.794,0.406,0.207,0.022,0.031,0.044,0.017,0.014,1
-0.048,0.931,0.757,0.327,0.913,0.34,0.087,0,0.007,0.01,0,0,1
1.509,2.88,1.087,0.732,0.321,0.83,0.679,0.076,0.103,0.156,0.071,0.058,1
0.239,1.573,0.892,0.296,0.704,0.446,0.296,0.021,0.039,0.047,0.017,0.013,1
0.523,2.937,1.048,0.397,0.696,0.526,0.304,0.036,0.05,0.072,0.028,0.024,1
0.042,2.788,0.669,0.01,0.115,0.02,0.007,0,0.001,0.001,0,0,1
0.347,0.847,0.677,0.631,1,0.664,0,0.026,0.05,0.077,0.022,0.014,1
0.805,2.526,1.258,0.492,0.556,0.581,0.444,0.047,0.067,0.091,0.04,0.032,1
0.136,2.82,0.941,0.028,0.128,0.05,0.02,0.002,0.003,0.004,0.002,0.001,1
-0.003,2.692,0.943,0.181,0.888,0.335,0.112,0.006,0.011,0.019,0.005,0.004,1
0.545,2.633,1.246,0.428,0.652,0.512,0.348,0.02,0.035,0.061,0.02,0.014,1
0.273,2.535,1.265,0.338,0.733,0.413,0.267,0.01,0.018,0.026,0.006,0.005,1
0.121,2.894,0.854,0.102,0.449,0.17,0.066,0.004,0.006,0.011,0.003,0.002,1
0.139,2.937,1.014,0.23,0.846,0.347,0.155,0.01,0.013,0.023,0.008,0.007,1
0.418,2.515,1.014,0.324,0.757,0.429,0.243,0.016,0.033,0.049,0.014,0.011,1
-0.071,2.308,0.918,0.158,0.896,0.307,0.104,0.005,0.01,0.017,0.003,0.002,1
0.257,2.842,0.75,0.227,0.838,0.408,0.162,0.004,0.008,0.019,0,0,1
0.348,2.769,1.183,0.326,0.752,0.44,0.249,0.022,0.036,0.051,0.019,0.016,1
0.139,2.865,0.934,0.207,0.86,0.37,0.141,0.005,0.01,0.021,0.004,0.003,1
-0.019,2.679,0.899,0.148,0.904,0.324,0.096,0.005,0.011,0.02,0.004,0.003,1
0.19,2.746,0.798,0.207,0.871,0.372,0.129,0.012,0.019,0.032,0.009,0.006,1
-0.12,2.62,0.875,0.032,0.198,0.058,0.022,0,0.001,0.002,0,0,1
0.159,2.186,0.914,0.192,0.839,0.344,0.161,0.012,0.018,0.029,0.009,0.008,1
0.166,2.036,1.002,0.235,0.798,0.401,0.202,0.01,0.021,0.033,0.008,0.004,1
-0.075,2.63,1.057,0.188,0.874,0.318,0.126,0.006,0.013,0.019,0.004,0.002,1
0.729,2.446,1.04,0.507,0.569,0.635,0.431,0.029,0.059,0.085,0.02,0.017,1
0.479,2.553,1.073,0.337,0.713,0.458,0.287,0.022,0.039,0.053,0.019,0.015,1
0.482,2.88,0.993,0.372,0.721,0.515,0.28,0.022,0.035,0.055,0.016,0.013,1
0.178,2.937,0.869,0.221,0.867,0.393,0.134,0.008,0.014,0.025,0.006,0.004,1
-0.025,2.88,0.768,0.14,0.921,0.263,0.079,0.002,0.005,0.01,0.001,0.001,1
0.002,1.414,0.561,0.096,0.979,0.169,0.021,0.003,0.006,0.011,0.002,0.001,1
0.318,2.327,1.027,0.295,0.749,0.432,0.251,0.018,0.031,0.045,0.016,0.014,1
0.029,2.755,0.855,0.17,0.889,0.297,0.111,0.002,0.006,0.012,0.002,0.001,1
0.067,2.547,0.829,0.109,0.6,0.249,0.084,0.003,0.006,0.013,0.001,0.001,1
0.004,2.739,1.024,0.206,0.878,0.304,0.122,0.005,0.009,0.018,0.003,0.003,1
0.099,2.779,0.908,0.208,0.87,0.329,0.13,0.005,0.011,0.017,0.004,0.003,1
0.109,2.437,0.694,0.161,0.894,0.279,0.106,0.007,0.011,0.019,0.004,0.003,1
-0.025,2.732,0.867,0.174,0.895,0.309,0.105,0.004,0.006,0.013,0.002,0.001,1
0.391,2.282,1.314,0.393,0.649,0.489,0.351,0.024,0.048,0.063,0.021,0.016,1
0.407,2.941,1.024,0.326,0.766,0.452,0.234,0.017,0.026,0.042,0.013,0.01,1
0.087,2.793,0.805,0.085,0.373,0.139,0.052,0.002,0.004,0.007,0.002,0.001,1
0.043,2.941,0.957,0.064,0.273,0.103,0.042,0.003,0.004,0.007,0.002,0.002,1
0.456,2.71,1.093,0.348,0.761,0.558,0.239,0.023,0.04,0.057,0.019,0.011,1
0.5,2.604,1.198,0.406,0.666,0.484,0.334,0.023,0.042,0.061,0.019,0.015,1
0.145,2.932,0.94,0.23,0.868,0.36,0.133,0.01,0.019,0.03,0.008,0.006,1
0.51,2.941,1.208,0.381,0.687,0.489,0.313,0.027,0.045,0.06,0.024,0.017,1
0.006,2.665,0.969,0.196,0.865,0.301,0.135,0.007,0.011,0.017,0.004,0.002,1
0.175,2.886,0.767,0.158,0.886,0.315,0.114,0.01,0.016,0.024,0.007,0.005,1
0.504,2.941,0.975,0.391,0.703,0.519,0.297,0.022,0.039,0.052,0.015,0.011,1
0.184,2.566,0.768,0.13,0.914,0.511,0.086,0.017,0.03,0.055,0.013,0.011,1
0.125,2.738,0.967,0.184,0.877,0.45,0.123,0.013,0.026,0.042,0.01,0.008,1
0.03,2.861,0.966,0.161,0.893,0.343,0.107,0.007,0.017,0.027,0.005,0.005,1
-0.052,0.409,0.63,0,0.07,0.014,0,0,0.001,0.001,0,0,1
1.591,2.941,1.329,0.692,0.32,0.752,0.68,0.037,0.068,0.103,0.033,0.028,1
0.268,2.941,0.945,0.275,0.797,0.432,0.203,0.015,0.024,0.04,0.012,0.008,1
0.739,2.735,1.1,0.477,0.611,0.587,0.389,0.032,0.054,0.076,0.021,0.017,1
0.323,2.884,1.273,0.35,0.725,0.437,0.275,0.02,0.033,0.047,0.016,0.013,1
0.085,2.941,0.934,0.197,0.879,0.363,0.121,0.009,0.016,0.027,0.007,0.004,1
0.094,2.706,1.062,0.237,0.825,0.375,0.175,0.016,0.022,0.032,0.013,0.01,1
-0.004,0.406,0.568,0,0,0,0,0,0,0,0,0,1
-0.127,0.724,0.742,0.25,1,0.298,0,0.004,0.007,0.015,0,0,1
0.166,2.941,0.916,0.232,0.842,0.37,0.159,0.006,0.012,0.022,0.004,0.002,1
0.255,2.84,1.111,0.28,0.81,0.363,0.19,0.009,0.019,0.03,0.008,0.008,1
0.008,2.619,0.801,0.132,0.914,0.273,0.086,0.004,0.007,0.015,0.003,0.002,1
0.135,2.572,0.951,0.217,0.837,0.37,0.163,0.01,0.017,0.027,0.007,0.005,1
-0.026,2.876,0.958,0.188,0.879,0.307,0.121,0.006,0.011,0.018,0.005,0.003,1
0.137,2.722,0.884,0.189,0.886,0.359,0.114,0.011,0.02,0.031,0.009,0.007,1
-0.106,2.728,1.235,0.179,0.86,0.343,0.14,0.009,0.017,0.029,0.006,0.005,1
0.071,1.318,0.831,0.267,0.778,0.34,0.222,0.007,0.014,0.025,0.005,0.002,1
0.245,2.865,0.923,0.253,0.818,0.399,0.183,0.01,0.015,0.025,0.01,0.007,1
0.078,2.884,1.152,0.224,0.848,0.367,0.152,0.01,0.021,0.034,0.007,0.007,1
-0.008,2.297,0.816,0.143,0.904,0.297,0.096,0.003,0.006,0.015,0.002,0.002,1
0.347,2.941,1.13,0.318,0.745,0.446,0.255,0.02,0.032,0.046,0.015,0.011,1
0.041,2.885,0.947,0.196,0.871,0.275,0.129,0.005,0.009,0.013,0.003,0.003,1
0.095,2.508,0.804,0.169,0.883,0.301,0.117,0.006,0.01,0.018,0.005,0.003,1
1.046,2.836,1.227,0.562,0.49,0.685,0.51,0.037,0.065,0.097,0.032,0.027,1
0.992,2.831,0.963,0.599,0.468,0.748,0.532,0.064,0.089,0.127,0.051,0.037,1
0.135,2.457,1.064,0.253,0.827,0.327,0.173,0.004,0.011,0.022,0.004,0.002,1
-0.049,2.664,0.955,0.174,0.883,0.293,0.117,0.005,0.01,0.016,0.003,0.003,1
0.028,2.695,0.79,0.029,0.197,0.051,0.016,0.001,0.001,0.002,0.001,0,1
0.337,2.676,1.172,0.353,0.752,0.485,0.248,0.022,0.037,0.058,0.019,0.015,1
0.644,2.632,1.002,0.424,0.709,0.587,0.291,0.026,0.046,0.067,0.017,0.017,1
0.924,2.588,1.438,0.571,0.488,0.618,0.512,0.028,0.051,0.079,0.028,0.028,1
-0.034,2.825,0.973,0.188,0.875,0.292,0.125,0.009,0.013,0.019,0.005,0.003,1
0.096,2.854,0.795,0.179,0.874,0.373,0.126,0.009,0.014,0.025,0.006,0.004,1
0.069,1.354,0.811,0.312,0.813,0.322,0.187,0.005,0.006,0.014,0.002,0.002,1
0.232,2.885,1.021,0.26,0.819,0.395,0.181,0.012,0.02,0.031,0.009,0.008,1
0.094,2.822,0.749,0.21,0.867,0.315,0.133,0.005,0.008,0.017,0.004,0.003,1
-0.019,2.505,0.819,0.124,0.926,0.301,0.074,0.007,0.012,0.02,0.004,0.002,1
0.308,2.553,0.946,0.282,0.819,0.44,0.181,0.015,0.024,0.04,0.012,0.01,1
-0.027,2.642,0.782,0.128,0.916,0.257,0.084,0.004,0.007,0.014,0.003,0.002,1
0.012,2.298,0.832,0.169,0.909,0.318,0.091,0.006,0.011,0.018,0.004,0.002,1
-0.003,1.93,0.801,0.107,0.711,0.285,0.059,0.011,0.018,0.03,0.007,0.005,1
0.134,2.838,0.886,0.222,0.87,0.327,0.131,0.004,0.01,0.017,0.004,0.003,1
0.245,2.798,0.969,0.263,0.809,0.388,0.191,0.009,0.014,0.027,0.005,0.004,1
0.12,2.884,0.936,0.175,0.881,0.323,0.119,0.01,0.016,0.026,0.008,0.007,1
0.606,2.779,1.118,0.444,0.671,0.591,0.329,0.028,0.035,0.066,0.017,0.007,1
0.39,2.885,1.057,0.314,0.75,0.452,0.25,0.022,0.033,0.048,0.018,0.014,1
0.151,2.367,0.869,0.214,0.849,0.329,0.151,0.013,0.018,0.035,0.005,0.005,1
0.285,2.818,1.005,0.247,0.823,0.43,0.178,0.017,0.028,0.041,0.015,0.013,1
0.824,2.873,1.164,0.544,0.561,0.633,0.439,0.054,0.074,0.098,0.043,0.036,1
0.067,2.937,0.932,0.203,0.853,0.324,0.147,0.008,0.011,0.019,0.005,0.003,1
-0.002,0.736,0.626,0.084,1,0.335,0,0.01,0.017,0.032,0.006,0.005,1
-0.08,2.885,0.929,0.153,0.899,0.259,0.101,0.003,0.007,0.012,0.003,0.002,1
0.142,2.804,0.865,0.206,0.875,0.376,0.125,0.008,0.013,0.023,0.006,0.005,1
0.835,2.758,1.252,0.475,0.579,0.569,0.421,0.017,0.041,0.069,0.017,0.015,1
0.276,2.838,0.923,0.284,0.798,0.423,0.202,0.011,0.022,0.032,0.008,0.006,1
0.626,2.803,1.255,0.426,0.606,0.56,0.394,0.007,0.018,0.046,0.004,0,1
0.393,2.606,1.131,0.35,0.725,0.468,0.276,0.024,0.037,0.055,0.021,0.019,1
0.452,2.86,1.217,0.37,0.703,0.475,0.297,0.024,0.039,0.054,0.019,0.015,1
0.063,1.661,0.792,0.178,0.831,0.323,0.169,0,0,0.009,0,0,1
0.114,2.814,0.76,0.151,0.946,0.471,0.054,0.016,0.028,0.048,0.011,0.008,1
0.095,2.562,0.786,0.028,0.143,0.052,0.018,0.001,0.002,0.003,0.001,0,1
0.132,2.83,0.941,0.236,0.849,0.341,0.151,0.006,0.01,0.016,0.004,0.003,1
-0.001,1.745,0.742,0.143,0.895,0.273,0.105,0,0.003,0.008,0,0,1
0.131,2.123,0.79,0.199,0.887,0.381,0.113,0.007,0.007,0.013,0.004,0,1
0.677,2.523,1.259,0.465,0.587,0.538,0.413,0.035,0.058,0.085,0.03,0.027,1
0.248,2.114,0.94,0.321,0.779,0.413,0.221,0.018,0.027,0.042,0.017,0.012,1
-0.11,2.035,0.753,0.112,0.945,0.233,0.055,0,0,0.002,0,0,1
0.07,2.834,0.891,0.19,0.875,0.329,0.125,0.005,0.011,0.018,0.003,0.003,1
0.129,2.279,1.327,0.329,0.706,0.404,0.294,0.017,0.032,0.049,0.014,0.01,1
-0.027,2.937,0.841,0.14,0.912,0.311,0.089,0.005,0.009,0.015,0.003,0.002,1
0.787,2.622,1.153,0.545,0.56,0.638,0.44,0.055,0.072,0.091,0.048,0.034,1
-0.065,2.854,0.844,0.153,0.892,0.28,0.108,0.005,0.008,0.011,0,0,1
0.706,2.509,1.377,0.521,0.571,0.585,0.429,0.021,0.041,0.048,0.012,0.004,1
0.23,2.337,1.128,0.32,0.749,0.405,0.251,0.013,0.021,0.034,0.008,0.005,1
-0.141,2.026,1.07,0.213,0.867,0.29,0.133,0.004,0.008,0.013,0.003,0.002,1
1.546,2.383,0.96,0.811,0.236,0.873,0.764,0.071,0.132,0.179,0.066,0.061,1
0.133,2.857,1.103,0.202,0.842,0.384,0.158,0.009,0.017,0.028,0.007,0.005,1
0,2.246,0.781,0.005,0.028,0.009,0.003,0,0,0,0,0,1
0.041,2.668,1.017,0.211,0.856,0.323,0.145,0.007,0.014,0.021,0.006,0.005,1
0.178,2.941,0.898,0.222,0.847,0.364,0.154,0.009,0.015,0.026,0.007,0.005,1
0.419,2.636,1.098,0.344,0.759,0.424,0.241,0.016,0.028,0.04,0.014,0.01,1
0.231,2.612,0.823,0.17,0.877,0.333,0.123,0.015,0.025,0.036,0.011,0.009,1
0.618,2.815,1.021,0.431,0.663,0.56,0.337,0.036,0.054,0.076,0.03,0.024,1
0.149,1.809,1.214,0.377,0.701,0.42,0.299,0.009,0.037,0.043,0.009,0.006,1
0.329,2.77,0.925,0.29,0.814,0.443,0.186,0.018,0.025,0.04,0.014,0.01,1
0.052,2.894,0.952,0.179,0.875,0.322,0.125,0.006,0.011,0.018,0.004,0.003,1
-0.024,2.941,0.849,0.166,0.902,0.287,0.098,0.004,0.006,0.012,0.003,0.002,1
0.081,2.763,0.953,0.197,0.847,0.323,0.153,0.004,0.008,0.016,0.002,0.002,1
0.115,2.822,0.923,0.22,0.856,0.333,0.145,0.005,0.012,0.019,0.004,0.003,1
1.312,2.788,1.601,0.764,0.297,0.807,0.703,0.047,0.099,0.123,0.042,0.038,1
1.392,2.847,1.337,0.767,0.314,0.814,0.686,0.063,0.107,0.141,0.055,0.048,1
1.724,2.654,0.998,0.855,0.239,0.894,0.761,0.125,0.149,0.188,0.102,0.082,1
0.286,2.281,1.288,0.363,0.687,0.452,0.313,0.025,0.035,0.051,0.021,0.014,1
0.144,2.844,0.835,0.149,0.902,0.316,0.098,0.01,0.015,0.026,0.008,0.006,1
-0.012,1.489,0.661,0.128,0.95,0.327,0.044,0.008,0.014,0.025,0.005,0.003,1
0.429,2.865,1.037,0.319,0.768,0.486,0.232,0.015,0.03,0.046,0.012,0.01,1
0.313,2.399,1.228,0.367,0.711,0.482,0.289,0.02,0.042,0.056,0.014,0.01,1
-0.181,2.554,0.956,0.115,0.918,0.308,0.082,0.005,0.01,0.018,0.003,0.002,1
-0.012,0.183,0.428,0,1,0,0,0,0,0,0,0,1
0.17,2.816,0.764,0.182,0.898,0.437,0.102,0.012,0.019,0.036,0.01,0.008,1
-0.092,2.581,0.856,0.14,0.923,0.291,0.077,0.004,0.007,0.015,0.002,0.001,1
0.114,2.757,0.791,0.055,0.258,0.104,0.032,0.003,0.004,0.007,0.002,0.001,1
0.126,2.789,0.868,0.227,0.857,0.331,0.143,0.006,0.01,0.017,0.004,0.003,1
-0.004,2.722,1.084,0.204,0.844,0.335,0.156,0.007,0.013,0.021,0.005,0.004,1
0.386,2.941,0.884,0.281,0.789,0.512,0.212,0.015,0.025,0.041,0.006,0.004,1
0.453,2.456,1.269,0.391,0.653,0.505,0.347,0.024,0.035,0.054,0.021,0.015,1
0.126,2.654,0.893,0.239,0.869,0.39,0.132,0.009,0.015,0.025,0.005,0.002,1
0.51,2.791,0.994,0.394,0.723,0.543,0.277,0.024,0.041,0.063,0.017,0.012,1
0.426,2.814,0.872,0.357,0.792,0.492,0.209,0.019,0.027,0.048,0.011,0.008,1
0.126,2.814,0.923,0.2,0.862,0.371,0.138,0.006,0.01,0.019,0.003,0.002,1
0.055,2.826,0.721,0.101,0.701,0.249,0.069,0.005,0.009,0.017,0.003,0.002,1
-0.004,2.607,0.905,0.154,0.895,0.301,0.105,0.008,0.014,0.023,0.004,0.003,1
-0.127,2.143,0.912,0.194,0.891,0.276,0.109,0.004,0.009,0.014,0.004,0.003,1
0.038,2.381,0.795,0.182,0.89,0.324,0.11,0.004,0.008,0.016,0.003,0.002,1
0.142,2.677,0.895,0.185,0.872,0.407,0.128,0.013,0.021,0.036,0.01,0.008,1
0.097,2.89,0.94,0.208,0.86,0.359,0.14,0.005,0.009,0.019,0.003,0.002,1
-0.009,2.865,0.826,0.142,0.915,0.317,0.085,0.004,0.008,0.015,0.003,0.002,1
-0.19,1.89,0.861,0.068,0.961,0.277,0.039,0.002,0.006,0.016,0,0,1
0.794,2.636,1.121,0.55,0.533,0.667,0.467,0.049,0.078,0.1,0.039,0.033,1
0.756,2.223,0.964,0.543,0.621,0.66,0.379,0.048,0.07,0.098,0.036,0.03,1
0.046,2.812,0.767,0.17,0.932,0.376,0.068,0.006,0.01,0.019,0.002,0.001,1
0.155,0.476,0.5,0,0.008,0.006,0,0,0.001,0.001,0,0,1
0.093,2.57,1.001,0.193,0.867,0.323,0.133,0.007,0.016,0.026,0.006,0.006,1
0.08,2.88,0.761,0.181,0.898,0.335,0.102,0.005,0.009,0.017,0.003,0.002,1
0.234,2.937,1.002,0.27,0.811,0.387,0.189,0.016,0.021,0.033,0.012,0.009,1
0.148,2.865,0.796,0.187,0.881,0.386,0.119,0.009,0.015,0.028,0.006,0.004,1
1.054,2.857,1.122,0.609,0.469,0.721,0.532,0.085,0.106,0.139,0.071,0.059,1
0.039,0.796,0.598,0.125,1,0.402,0,0.019,0.035,0.053,0.013,0.008,1
0.077,2.85,0.86,0.189,0.874,0.325,0.126,0.007,0.011,0.019,0.004,0.003,1
0.193,2.941,0.965,0.243,0.841,0.385,0.159,0.01,0.018,0.03,0.009,0.007,1
0.28,2.941,1.117,0.292,0.777,0.427,0.224,0.007,0.017,0.026,0.007,0.003,1
0.348,2.21,1.31,0.418,0.664,0.487,0.336,0.019,0.037,0.056,0.018,0.016,1
0.864,2.838,1.266,0.511,0.577,0.607,0.424,0.041,0.067,0.089,0.034,0.026,1
0.128,2.868,0.894,0.201,0.872,0.356,0.128,0.007,0.012,0.02,0.005,0.004,1
1.228,2.644,1.377,0.708,0.348,0.757,0.652,0.049,0.09,0.116,0.042,0.035,1
0.986,2.941,1.196,0.552,0.507,0.671,0.493,0.066,0.086,0.115,0.053,0.044,1
0.125,2.406,1.014,0.216,0.838,0.406,0.162,0.014,0.025,0.037,0.011,0.009,1
0.156,2.861,0.881,0.176,0.888,0.441,0.112,0.015,0.024,0.039,0.01,0.006,1
0.069,2.861,0.77,0.154,0.896,0.285,0.104,0.005,0.009,0.015,0.003,0.002,1
0.102,2.829,0.681,0.158,0.914,0.3,0.086,0.006,0.011,0.02,0.004,0.003,1
-0.051,0.53,0.562,0,1,0.129,0,0.001,0.005,0.01,0.001,0.001,1
0.023,1.668,0.83,0.239,0.808,0.296,0.192,0.004,0.007,0.013,0.003,0.001,1
-0.117,2.189,0.963,0.179,0.862,0.275,0.138,0.005,0.007,0.013,0.005,0.003,1
1.422,2.387,1.02,0.742,0.315,0.803,0.685,0.038,0.103,0.127,0.033,0.023,1
0.092,2.894,0.921,0.174,0.895,0.412,0.105,0.011,0.017,0.033,0.009,0.006,1
0.814,2.436,1.309,0.535,0.53,0.605,0.47,0.03,0.05,0.065,0.025,0.02,1
0.053,2.486,0.774,0.166,0.88,0.311,0.12,0.002,0.005,0.013,0.001,0.001,1
0.121,2.741,0.88,0.13,0.563,0.239,0.088,0.005,0.008,0.013,0.003,0.003,1
0.098,2.827,0.921,0.174,0.898,0.423,0.103,0.011,0.019,0.032,0.007,0.006,1
0.034,1.903,0.566,0.091,0.953,0.172,0.047,0.004,0.006,0.012,0.002,0.001,1
-0.124,2.937,0.897,0.096,0.94,0.273,0.06,0.001,0.003,0.009,0.001,0.001,1
0.088,2.38,0.842,0.216,0.887,0.323,0.113,0.006,0.01,0.016,0.003,0.001,1
0.362,2.618,1.182,0.37,0.7,0.471,0.301,0.019,0.038,0.052,0.016,0.011,1
0.039,2.427,0.988,0.222,0.829,0.311,0.171,0.01,0.016,0.024,0.007,0.005,1
0.08,2.643,0.72,0.188,0.914,0.326,0.086,0.007,0.013,0.022,0.005,0.003,1
0.145,2.627,0.975,0.237,0.85,0.34,0.15,0.013,0.018,0.026,0.01,0.008,1
0.241,0.445,0.397,0,0.025,0.022,0,0.002,0.003,0.004,0.002,0.001,1
0.479,2.707,1.013,0.395,0.699,0.511,0.301,0.032,0.043,0.063,0.023,0.017,1
0.096,2.133,0.874,0.22,0.838,0.348,0.162,0.011,0.02,0.03,0.009,0.007,1
0.898,2.822,1.127,0.544,0.52,0.673,0.48,0.046,0.089,0.116,0.031,0.031,1
0.164,2.879,0.971,0.228,0.848,0.371,0.152,0.01,0.016,0.028,0.009,0.006,1
0.304,2.882,0.914,0.291,0.798,0.409,0.202,0.014,0.018,0.033,0.013,0.009,1
0.15,2.837,0.785,0.227,0.881,0.391,0.119,0.008,0.015,0.027,0.005,0.003,1
0.047,2.941,0.755,0.099,0.661,0.235,0.059,0.005,0.009,0.016,0.003,0.002,1
0.033,2.624,0.727,0.155,0.906,0.301,0.094,0.001,0.003,0.01,0,0,1
0.041,2.724,0.955,0.206,0.874,0.341,0.126,0.008,0.013,0.02,0.006,0.004,1
0.306,2.873,1.181,0.301,0.756,0.392,0.244,0.02,0.03,0.043,0.017,0.015,1
0.359,2.941,1.101,0.263,0.792,0.434,0.208,0.015,0.029,0.041,0.012,0.01,1
0.108,2.793,0.808,0.184,0.877,0.301,0.124,0.004,0.008,0.015,0.003,0.002,1
0.103,2.82,0.821,0.16,0.902,0.382,0.098,0.008,0.016,0.027,0.007,0.004,1
0.039,1.021,0.552,0.017,0.157,0.036,0.002,0.001,0.002,0.003,0.001,0,1
0.349,2.748,1.16,0.312,0.742,0.425,0.258,0.019,0.033,0.047,0.016,0.013,1
0.272,0.875,0.571,0.014,0.034,0.018,0,0.001,0.001,0.002,0,0,1
-0.041,2.941,0.846,0.158,0.91,0.285,0.09,0.004,0.007,0.013,0.002,0.002,1
0.091,2.89,0.749,0.173,0.89,0.316,0.11,0.004,0.007,0.015,0.002,0.001,1
0.139,2.868,0.993,0.243,0.85,0.358,0.15,0.013,0.02,0.028,0.009,0.007,1
-0.051,0.107,0.524,0,1,0,0,0,0,0,0,0,1
0.704,2.794,1.071,0.47,0.657,0.562,0.343,0.028,0.048,0.066,0.021,0.012,1
0.009,2.761,0.761,0.178,0.92,0.29,0.08,0.002,0.005,0.011,0.001,0.001,1
0.144,2.941,0.777,0.198,0.873,0.367,0.127,0.006,0.011,0.021,0.004,0.003,1
0.281,0.676,0.415,0.017,1,0.785,0,0.092,0.123,0.168,0.081,0.067,1
1.756,2.709,1.014,0.848,0.194,0.891,0.806,0.094,0.142,0.182,0.079,0.067,1
0.246,2.097,1.041,0.293,0.764,0.412,0.236,0.018,0.021,0.034,0.013,0.01,1
0.836,2.941,1.191,0.453,0.602,0.619,0.398,0.047,0.065,0.091,0.04,0.031,1
0.692,2.813,1.455,0.445,0.614,0.523,0.386,0.027,0.057,0.072,0.024,0.017,1
-0.067,2.894,0.812,0.07,0.448,0.138,0.041,0.001,0.003,0.006,0.001,0.001,1
0.22,2.804,1.41,0.354,0.713,0.449,0.287,0.006,0.014,0.029,0.003,0.003,1
-0.343,2.276,1.038,0.13,0.908,0.208,0.092,0.001,0.003,0.005,0.001,0.001,1
-0.005,2.235,0.675,0.054,0.557,0.201,0.026,0.005,0.009,0.015,0.003,0.002,1
0.085,2.941,0.863,0.06,0.287,0.103,0.043,0.003,0.004,0.007,0.002,0.001,1
0.177,2.831,0.966,0.217,0.853,0.383,0.147,0.008,0.017,0.028,0.008,0.006,1
0.452,1.596,0.736,0.359,0.649,0.529,0.351,0.03,0.043,0.067,0.025,0.021,1
0.175,2.937,0.939,0.248,0.843,0.379,0.157,0.007,0.011,0.023,0.004,0.004,1
0.081,2.671,0.699,0.123,0.917,0.32,0.083,0.008,0.014,0.026,0.006,0.004,1
-0.06,2.228,1.023,0.186,0.846,0.29,0.154,0.006,0.014,0.019,0.005,0.004,1
0.159,1.138,0.76,0.344,0.7,0.352,0.3,0.008,0.011,0.017,0.004,0.002,1
0.415,2.885,1.073,0.351,0.739,0.485,0.262,0.028,0.04,0.058,0.022,0.018,1
0.392,2.865,1.004,0.311,0.784,0.444,0.216,0.016,0.024,0.039,0.011,0.009,1
0.127,2.665,0.941,0.216,0.842,0.367,0.158,0.009,0.015,0.025,0.006,0.004,1
