cons1,cons2,cons3,cons4,cons5,cons6,cons7,cons8,cons9,cons10,cons11,cons12,label
0.074,2.706,0.881,0.194,0.87,0.343,0.13,0.005,0.011,0.019,0.004,0.003,1
0.114,1.81,0.782,0.183,0.851,0.394,0.149,0.005,0.01,0.024,0.005,0,1
0.091,2.638,0.759,0.054,0.324,0.092,0.037,0.002,0.003,0.006,0.002,0.001,1
0.117,2.788,0.744,0.175,0.868,0.347,0.132,0.004,0.009,0.019,0.004,0.002,1
0.581,2.555,1.071,0.415,0.676,0.514,0.324,0.021,0.038,0.052,0.016,0.012,1
0.1,2.838,0.931,0.197,0.863,0.39,0.137,0.009,0.018,0.028,0.006,0.005,1
0.05,2.427,0.58,0.077,0.97,0.154,0.03,0.003,0.005,0.01,0.002,0.001,1
0.257,2.865,0.993,0.262,0.817,0.405,0.183,0.016,0.025,0.037,0.012,0.01,1
0.315,2.941,1.106,0.296,0.767,0.423,0.233,0.018,0.027,0.041,0.014,0.01,1
0.128,2.84,0.996,0.231,0.847,0.359,0.153,0.007,0.013,0.024,0.005,0.003,1
0.095,2.82,0.884,0.199,0.871,0.33,0.129,0.006,0.01,0.019,0.004,0.003,1
0.036,1.148,0.659,0.153,0.97,0.381,0.03,0.006,0.011,0.019,0.004,0.002,1
0.102,2.88,0.816,0.169,0.896,0.328,0.104,0.006,0.012,0.02,0.004,0.003,1
0.03,2.388,0.827,0.2,0.856,0.314,0.144,0.002,0.006,0.012,0.001,0.001,1
-0.177,1.73,0.793,0.095,0.96,0.286,0.04,0.004,0.007,0.014,0.002,0.001,1
0.514,2.837,1.041,0.358,0.727,0.558,0.273,0.025,0.042,0.064,0.018,0.011,1
0.035,2.941,0.876,0.172,0.896,0.305,0.105,0.004,0.007,0.014,0.003,0.002,1
0.111,2.937,0.8,0.164,0.891,0.279,0.109,0.005,0.009,0.015,0.002,0.002,1
0.386,2.79,1.062,0.33,0.751,0.462,0.249,0.026,0.032,0.05,0.02,0.015,1
0.071,2.941,0.811,0.077,0.477,0.155,0.048,0.002,0.004,0.008,0.002,0.001,1
-0.075,1.855,0.756,0.129,0.957,0.299,0.043,0.004,0.006,0.014,0.001,0.001,1
0.559,2.885,1.198,0.046,0.089,0.065,0.038,0.003,0.005,0.007,0.002,0.002,1
0.054,2.593,1.094,0.202,0.851,0.369,0.149,0.012,0.02,0.033,0.008,0.006,1
0.282,2.594,1.393,0.413,0.689,0.474,0.311,0.017,0.027,0.051,0.012,0.005,1
0.043,2.752,1.084,0.17,0.864,0.342,0.136,0.009,0.016,0.023,0.008,0.005,1
0.444,2.835,1.099,0.338,0.739,0.439,0.262,0.013,0.03,0.045,0.011,0.01,1
-0.022,2.604,0.778,0.14,0.921,0.284,0.079,0.005,0.006,0.016,0.003,0.002,1
0.597,2.63,1.152,0.429,0.668,0.526,0.332,0.016,0.037,0.056,0.012,0.01,1
0.47,2.937,1.007,0.374,0.714,0.531,0.287,0.026,0.038,0.058,0.019,0.013,1
1.944,2.941,1.1,0.85,0.17,0.897,0.83,0.101,0.145,0.185,0.09,0.077,1
0.006,2.484,0.824,0.224,0.903,0.312,0.097,0.005,0.007,0.018,0.004,0.003,1
-0.309,2.548,0.957,0.122,0.922,0.226,0.078,0,0.002,0.004,0,0,1
