length,accuracy,f1,precision,recall,roc
118,0.6908,0.6908,0.6909,0.6908,0.6908
119,0.6921,0.6921,0.6922,0.6921,0.6921
120,0.6929,0.6929,0.6930,0.6929,0.6930
121,0.6952,0.6951,0.6952,0.6952,0.6952
122,0.6906,0.6906,0.6907,0.6906,0.6906
123,0.6882,0.6881,0.6882,0.6882,0.6881
124,0.6897,0.6897,0.6898,0.6897,0.6898
125,0.6913,0.6913,0.6913,0.6913,0.6913
126,0.6903,0.6903,0.6904,0.6903,0.6903
127,0.6906,0.6906,0.6907,0.6906,0.6906
128,0.6914,0.6914,0.6915,0.6914,0.6914
129,0.6906,0.6906,0.6906,0.6906,0.6906
130,0.6904,0.6903,0.6904,0.6904,0.6904
131,0.6945,0.6944,0.6945,0.6945,0.6945
132,0.6936,0.6936,0.6937,0.6936,0.6936
133,0.7046,0.7046,0.7046,0.7046,0.7046
134,0.7013,0.7012,0.7013,0.7013,0.7013
135,0.7029,0.7029,0.7030,0.7029,0.7029
136,0.7035,0.7034,0.7035,0.7035,0.7035
137,0.7053,0.7053,0.7053,0.7053,0.7053
138,0.7020,0.7020,0.7021,0.7020,0.7021
139,0.7039,0.7039,0.7040,0.7039,0.7039
140,0.7038,0.7038,0.7039,0.7038,0.7038
141,0.7025,0.7024,0.7025,0.7025,0.7025
142,0.7046,0.7045,0.7046,0.7046,0.7045
143,0.7046,0.7045,0.7046,0.7046,0.7046
144,0.7065,0.7065,0.7065,0.7065,0.7065
145,0.7072,0.7072,0.7072,0.7072,0.7072
146,0.7087,0.7087,0.7089,0.7087,0.7087
147,0.7088,0.7088,0.7089,0.7088,0.7088
148,0.7055,0.7054,0.7055,0.7055,0.7055
149,0.7078,0.7078,0.7079,0.7078,0.7078
150,0.7101,0.7101,0.7102,0.7101,0.7101
151,0.7105,0.7104,0.7106,0.7105,0.7105
152,0.7103,0.7103,0.7103,0.7103,0.7103
153,0.7359,0.7359,0.7360,0.7359,0.7359
154,0.7369,0.7369,0.7369,0.7369,0.7369
155,0.7360,0.7360,0.7361,0.7360,0.7360
156,0.7356,0.7356,0.7357,0.7356,0.7356
157,0.7365,0.7365,0.7366,0.7365,0.7365
158,0.7391,0.7391,0.7392,0.7391,0.7391
159,0.7361,0.7361,0.7362,0.7361,0.7361
160,0.7375,0.7375,0.7375,0.7375,0.7375
161,0.7378,0.7378,0.7378,0.7378,0.7378
162,0.7363,0.7363,0.7364,0.7363,0.7364
163,0.7375,0.7375,0.7375,0.7375,0.7375
164,0.7369,0.7368,0.7369,0.7369,0.7369
165,0.7494,0.7494,0.7495,0.7494,0.7494
166,0.7496,0.7495,0.7496,0.7496,0.7495
167,0.7484,0.7484,0.7485,0.7484,0.7484
168,0.7498,0.7497,0.7498,0.7498,0.7497
169,0.7549,0.7548,0.7549,0.7549,0.7549
170,0.7529,0.7528,0.7530,0.7529,0.7529
171,0.7516,0.7516,0.7516,0.7516,0.7516
172,0.7532,0.7532,0.7533,0.7532,0.7533
173,0.7505,0.7505,0.7505,0.7505,0.7505
174,0.7500,0.7500,0.7500,0.7500,0.7500
175,0.7506,0.7505,0.7506,0.7506,0.7506
176,0.7506,0.7506,0.7506,0.7506,0.7506
177,0.7507,0.7507,0.7507,0.7507,0.7507
178,0.7517,0.7516,0.7517,0.7517,0.7517
179,0.7525,0.7525,0.7525,0.7525,0.7525
180,0.7491,0.7491,0.7491,0.7491,0.7491
181,0.7525,0.7525,0.7525,0.7525,0.7525
182,0.7521,0.7521,0.7521,0.7521,0.7521
183,0.7489,0.7489,0.7489,0.7489,0.7489
184,0.7511,0.7511,0.7511,0.7511,0.7511
185,0.7532,0.7532,0.7533,0.7532,0.7532
186,0.7541,0.7541,0.7541,0.7541,0.7541
187,0.7561,0.7561,0.7561,0.7561,0.7561
188,0.7614,0.7614,0.7614,0.7614,0.7614
